title,URL,image,datePublished,categories,excerpt
Amazon EC2 Hpc6id Instances Optimized for High Performance Computing,https://aws.amazon.com/blogs/aws/new-amazon-ec2-hpc6id-instances-optimized-for-high-performance-computing/,,29-Nov-22,Amazon EC2 | Announcements | High Performance Computing,"Today, we announce the general availability of Amazon EC2 Hpc6id instances, a new instance type that is purpose-built for tightly coupled HPC workloads. Amazon EC2 Hpc6id instances are powered by 3rd Gen Intel Xeon Scalable processors (Ice Lake) that run at frequencies up to 3.5 GHz, 1024 GiB memory, 15.2 TB local SSD disk, 200 Gbps Elastic Fabric Adapter (EFA) network bandwidth, which is 4x higher than R6i instances. Amazon EC2 Hpc6id instances have the best per-vCPU HPC performance when compared to similar x86-based EC2 instances for data-intensive HPC workloads."
Avoid overspending with AWS Batch using a serverless cost guardian monitoring architecture,https://aws.amazon.com/blogs/hpc/avoid-overspending-with-aws-batch-using-a-serverless-cost-guardian-monitoring-architecture/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/10/05/CleanShot-2022-10-05-at-09.08.46-1260x628.png,9-Nov-22,AWS Batch | Compute | High Performance Computing,"Pay-as-you-go resources are a compelling but budget-limited researchers performing HPC workloads need help working within the bounds of their grants. In this post, we show how to build a real-time cost guardian for AWS Batch to help enforce those limits."
Bridging research and HPC to tackle grand challenges,https://aws.amazon.com/blogs/hpc/bridging-research-and-hpc-to-tackle-grand-challenges/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/11/08/CleanShot-2022-11-08-at-10.52.15-1256x630.png,8-Nov-22,High Performance Computing | Sustainability | Thought Leadership,"Today we announced the AWS Impact Computing Project at the Harvard Data Science Initiative (HDSI) to identify potential solutions that can improve the lives of humans, other species, and natural ecosystems. Deb Goldfarb describes its goals and our joint vision."
Support for Instance Allocation Flexibility in AWS ParallelCluster 3.3,https://aws.amazon.com/blogs/hpc/support-for-instance-allocation-flexibility-in-aws-parallelcluster-3-3/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/10/27/CleanShot-2022-10-27-at-10.30.36.png,2-Nov-22,AWS ParallelCluster | Compute | High Performance Computing,"AWS ParallelCluster 3.3.0 now lets you define a list of Amazon EC2 instance types for resourcing a compute queue. This gives you more flexibility to optimize the cost and total time to solution of your HPC jobs, especially when capacity is limited or you’re using Spot Instances."
Hyper Metal: Scaling AWS Instances Up with TidalScale,https://aws.amazon.com/blogs/hpc/hyper-metal-scaling-aws-instances-up-with-tidalscale/,,1-Nov-22,,"In this post we show you how to scale large-memory, high CPU-count single system-image environments on AWS with HyperMetal-powered instances by TidalScale."
How AWS Batch developed support for Amazon Elastic Kubernetes Service,https://aws.amazon.com/blogs/hpc/how-aws-batch-developed-support-for-amazon-elastic-kubernetes-service/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/10/21/CleanShot-2022-10-21-at-15.36.47.png,25-Oct-22,Amazon Elastic Kubernetes Service | AWS Batch | High Performance Computing | Thought Leadership,"Today, we discuss AWS batch on Amazon EKS, and the initial motivation and design choices the team made when we developed the service, and some of the challenges to overcome."
Minimize HPC compute costs with all-or-nothing instance launching,https://aws.amazon.com/blogs/hpc/minimize-hpc-compute-costs-with-all-or-nothing-instance-launching/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/09/28/CleanShot-2022-09-28-at-13.13.27-1260x630.png,18-Oct-22,AWS ParallelCluster | High Performance Computing,"In this post, we highlight a little-known configuration option for Slurm on @awscloud ParallelCluster that can reduce costs and increase your iteration speed by preventing idle batch instances from launching when EC2 capacity is limited."
BioContainers are now available in Amazon ECR Public Gallery,https://aws.amazon.com/blogs/hpc/biocontainers-are-now-available-in-amazon-ecr-public-gallery/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/10/12/hpc-150-header.png,12-Oct-22,Announcements | AWS Batch | Compute | High Performance Computing | Life Sciences,"Today we are excited to announce that all 9000+ applications provided by the BioContainers community are available within ECR Public Gallery! You don’t need an AWS account to access these images, but having one allows many more pulls to the internet, and unmetered usage within AWS. If you perform any sort of bioinformatics analysis on AWS, you should check it out!"
Optimize Protein Folding Costs with OpenFold on AWS Batch,https://aws.amazon.com/blogs/hpc/optimize-protein-folding-costs-with-openfold-on-aws-batch/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/10/03/HPCBlog-159-header.png,4-Oct-22,AWS Batch | High Performance Computing | Life Sciences,"In this post, we describe how to orchestrate protein folding jobs on AWS Batch. We also compare the performance of OpenFold and AlphaFold on a set of public targets. Finally, we will discuss how to optimize your protein folding costs."
Getting the Best Price Performance for Numerical Weather Prediction Workloads on AWS,https://aws.amazon.com/blogs/hpc/best-price-performance-for-nwp-on-aws/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/09/19/hpcblog-131-featured-img.png,27-Sep-22,Best Practices | High Performance Computing,"In this post, we will provide an overview of Numerical Weather Prediction (NWP) workloads, and the AWS HPC-optimized services for it. We’ll test three popular NWP codes: WRF, MPAS, and FV3GFS."
