Section,Station,Assigned_ID,Reviewed_ID,Title,Abstract,SpeakerAffil,Date,Start,End,Dow,Owner,Speaker,,Cal_Subj,Cal_Loc,Topic
COMMUNITY,C,,,SIGHPC/CaRCC Lucky Strike Bowling,"https://sighpc-syspros.org/social/ Lucky Strike bowling, 500 16th St Mall #340, Denver, CO 80202",,12-Nov,18:00,20:00,Sunday,satgandh@,https://sighpc-syspros.org/social/,,SIGHPC/CaRCC Lucky Strike Bowling,"Lucky Strike bowling, 500 16th St Mall #340, Denver, CO 80202","Networking, Community"
COMMUNITY,C,,,"HPC on Arm Welcome to Denver happy hour, sponsored by AWS, Arm, and NVIDIA","Arm, AWS, and NVIDIA want to welcome you to Denver with a happy hour downtown near the train station.",,12-Nov,19:00,22:00,Sunday,bouffler,"Arm, AWS, and NVIDIA",,"HPC on Arm Welcome to Denver happy hour, sponsored by AWS, Arm, and NVIDIA","Wynkoop Brewing (Mercantile Room) 1634 18th St
Denver, CO 80202","Arm64, Community, Networking"
COMMUNITY,C,,,Zero to Hero: Conquering the Arm Neoverse (Arm HPC User group tutorial),"Developers from Arm, AWS, and NVIDIA Rm 407",,13-Nov,8:30,12:00,Monday,bouffler,"Developers from Arm, AWS, and NVIDIA",,Zero to Hero: Conquering the Arm Neoverse (Arm HPC User group tutorial),Rm 407,"Arm64, Graviton, Community, SC Tutorial"
COMMUNITY,C,,,Solving Optimization Problems Using Near Term Quantum Devices - Amazon Braket tutorial,Quantum computing specialists from the Amazon Braket team Rm 406,,13-Nov,8:30,12:00,Monday,bouffler,Quantum computing specialists from the Amazon Braket team,,Solving Optimization Problems Using Near Term Quantum Devices - Amazon Braket tutorial,Rm 406,"Quantum, Amazon Braket, SC Tutorial"
COMMUNITY,C,,,Best Practices of HPC in the Cloud,https://sc23.supercomputing.org/presentation/?id=tut144&sess=sess238 Rm 205,,13-Nov,8:30,17:00,Monday,maxhaws@,https://sc23.supercomputing.org/presentation/?id=tut144&sess=sess238,,Best Practices of HPC in the Cloud,Rm 205,"SC Tutorial, Community"
COMMUNITY,C,,,Women in HPC Workshop,Agenda: https://womeninhpc.org/events/sc-2023-workshop Rm 710,,13-Nov,9:00,17:00,Monday,bouffler,Agenda: https://womeninhpc.org/events/sc-2023-workshop,,Women in HPC Workshop,Rm 710,"WHPC, Community"
COMMUNITY,C,,,Fourth International Workshop on Quantum Computing Software,https://sc23.supercomputing.org/session/?sess=sess446 Rm 603,,13-Nov,9:00,17:30,Monday,shaffry@,https://sc23.supercomputing.org/session/?sess=sess446,,Fourth International Workshop on Quantum Computing Software,Rm 603,"SC Workshop, Community"
SC23-POD5,PODs,,,Unlocking quantum potential: Getting started with Strangeworks,"Join us for a demo to help demystify quantum programming. Explore the Quantum Approximate Optimization Algorithm (QAOA) service, which simplifies quantum computing for all skill levels. See the practical application of the QAOA service on AWS via Rigetti hardware, showcasing Strangeworks‚Äôs latest cargo loading problem. Whether you‚Äôre a quantum novice or an experienced coder, gain insights into quantum computing‚Äôs potential. Discover how Strangeworks‚Äôs intuitive platform is reshaping quantum accessibility, making it easier and more efficient to harness quantum power. Start your quantum journey with Strangeworks and witness the transformative possibilities of quantum computing.",Strangeworks,13-Nov,19:00,21:00,Monday,XX,"Steven Gibson, Chief Strategy Officer, Strangeworks",,Unlocking quantum potential: Getting started with Strangeworks,AWS Booth #1001 | Pod @ SC'23 Denver,Quantum 
SC23-POD7,PODs,,,BlueQubit: A simple way to run quantum,"BlueQubit is a software infrastructure company for running hybrid compute jobs on QPU/GPU/CPU. Learn about their fast, zero-setup GPU simulators.",BlueQubit,13-Nov,19:00,21:00,Monday,XX,"Hrant Gharibyan, CEO, BlueQubit",,BlueQubit: A simple way to run quantum,AWS Booth #1001 | Pod @ SC'23 Denver,Quantum 
SC23-POD9,PODs,,,How quantum infrastructure software is delivering business advantage ,"Companies and talent alike are catching on to quantum computing. Companies are racing to build quantum computers with the most qubits, and people, from business leaders to students and job seekers, are looking to join the industry. However, a challenge is that today‚Äôs quantum computers are noisy and prone to error, which affects the accuracy of everything they attempt to do. This is what Q-CTRL is solving. Q-CTRL‚Äôs mission is to make quantum technology useful. This demo showcases how Q-CTRL infrastructure software is delivering business advantage from quantum computing. Q-CTRL builds commercial-ready, quantum control and error reduction products available on the AWS Marketplace and integrated with Amazon Braket.",Q-Ctrl,13-Nov,19:00,21:00,Monday,XX,"Alex Shih, Head of Product,Q-Ctrl; Rowen Wu, Product Manager, Q-Ctrl",,How quantum infrastructure software is delivering business advantage ,AWS Booth #1001 | Pod @ SC'23 Denver,Quantum 
